ticker,name,sector,asset_type,current_price,market_cap,revenue,net_income,total_equity,net_debt,roe,net_margin,debt_ebitda,ev_ebitda,net_income_growth_yoy,pe_ratio,pb_ratio,dividend_yield,dividend_growth_yoy,score,score_label
MNDL4,MUNDIAL S/A PN,"Tecidos, Vestuário e Calçados",stock,38.0,3769980.0,1009750000.0,-37327000.0,115327000.0,493561000.0,-3.24,-0.37,,,,-10.0,3.0,0.0,,19.0,Fraco
MNPR3,MINUPAR ON,Alimentos Processados,stock,388.0,275484000.0,447971000.0,510731000.0,201004000.0,-126069000.0,,,,193.0,3.275373,54.0,,0.33,,50.0,Bom
MNPR4,MINUPAR PN,Alimentos Processados,stock,463.0,328735000.0,447971000.0,510731000.0,201004000.0,-126069000.0,,,,,,64.0,,0.0,,52.5,Bom
MNSA3,MANASA ON,,stock,42.0,0.0,3658000.0,-13266000.0,-9105000.0,46989000.0,,,,,,,,0.0,,50.0,Bom
MNSA4,MANASA PN,,stock,47.0,0.0,3658000.0,-13266000.0,-9105000.0,46989000.0,,,,,,,,0.0,,50.0,Bom
MOAR3,MONTEIRO ARANHA ON,Holdings Diversificadas,stock,6121.0,749884000.0,0.0,31891000.0,924791000.0,-434804000.0,0.34,0.0,,,,,81.0,,,53.75,Bom
MODL3,MODALMAIS ON N2,Intermediários Financeiros,stock,308.0,2168940000.0,,-94344000.0,1154890000.0,,-0.82,0.0,,,,,,0.07,,34.0,Regular
MODL4,MODALMAIS PN N2,Intermediários Financeiros,stock,272.0,1915420000.0,,-94344000.0,1154890000.0,,-0.82,0.0,,,,,,0.0,,27.75,Regular
MOSI3,MOSAICO SA ON NM,Programas e Serviços,stock,824.0,1043150000.0,219106000.0,32310000.0,670337000.0,-543259000.0,0.48,,,,,,,0.0,,52.5,Bom
MOTV3,MOTIVA SA ON,Transporte,stock,1471.0,29714200000.0,18630800000.0,3361530000.0,16336000000.0,30817000000.0,2.06,,,,-0.109126,,,0.26,,59.61,Bom
MOVI3,MOVIDA ON NM,Diversos,stock,967.0,3888880000.0,14884500000.0,364410000.0,3056660000.0,18168600000.0,1.19,0.24,,,-0.16981,,,0.67,,66.2,Bom
MPLU3,MULTIPLUS ON NM,,stock,2680.0,4348220000.0,632264000.0,356399000.0,250279000.0,-1105760000.0,,,,,,,,0.0,,52.5,Bom
MRSA3B,MRS LOGÍSTICA S/A ON MB,Transporte,stock,4299.0,14529600000.0,7583010000.0,1350560000.0,8729610000.0,5908130000.0,1.55,,,,0.211666,,,0.0,,65.0,Bom
MRSA5B,MRS LOGÍSTICA S/A PNA MB,Transporte,stock,3800.0,12843100000.0,7583010000.0,1350560000.0,8729610000.0,5908130000.0,1.55,,,,0.211666,,,0.3,,72.5,Bom
MRSA6B,MRS LOGÍSTICA S/A PNB MB,Transporte,stock,3650.0,12336200000.0,7583010000.0,1350560000.0,8729610000.0,5908130000.0,1.55,,,,0.211666,,,0.32,,72.5,Bom
MRSL3,MARISOL ON,"Tecidos, Vestuário e Calçados",stock,330.0,370438000.0,419344000.0,36128000.0,375151000.0,32341000.0,0.96,0.87,,,,,99.0,0.0,,52.5,Bom
MRSL4,MARISOL PN,"Tecidos, Vestuário e Calçados",stock,305.0,342375000.0,419344000.0,36128000.0,375151000.0,32341000.0,0.96,0.87,,,,,91.0,0.0,,52.5,Bom
